"ProbeSet Name","HR_14.42l.CEL","p-value (HR_14.42l.CEL)","Detection (HR_14.42l.CEL)","HR_14.42f.CEL","p-value (HR_14.42f.CEL)","Detection (HR_14.42f.CEL)","HR_14.42g.CEL","p-value (HR_14.42g.CEL)","Detection (HR_14.42g.CEL)","HR_14.42h.CEL","p-value (HR_14.42h.CEL)","Detection (HR_14.42h.CEL)","HR_14.42i.CEL","p-value (HR_14.42i.CEL)","Detection (HR_14.42i.CEL)","HR_14.42j.CEL","p-value (HR_14.42j.CEL)","Detection (HR_14.42j.CEL)","HR_14.42k.CEL","p-value (HR_14.42k.CEL)","Detection (HR_14.42k.CEL)"
"ppy-miR-28_st","6.375619","1.74E-14","TRUE","6.504949","8.72E-16","TRUE","6.410299","8.72E-16","TRUE","6.505883","8.72E-16","TRUE","7.271721","5.27E-15","TRUE","5.656875","3.50E-09","TRUE","6.024186","2.09E-12","TRUE"
"mne-miR-28_st","6.499979","8.90E-14","TRUE","6.755633","8.72E-16","TRUE","6.351218","1.59E-15","TRUE","6.739725","8.72E-16","TRUE","7.329122","4.61E-14","TRUE","5.352166","3.19E-09","TRUE","6.289927","1.86E-13","TRUE"
"sla-miR-28_st","6.458057","5.27E-15","TRUE","6.59465","8.72E-16","TRUE","6.649698","8.72E-16","TRUE","6.678001","8.72E-16","TRUE","7.53161","1.59E-15","TRUE","5.060084","4.96E-08","TRUE","5.856863","2.27E-12","TRUE"
"lla-miR-28_st","6.318234","9.57E-15","TRUE","6.844923","8.72E-16","TRUE","6.612671","8.72E-16","TRUE","6.559492","8.72E-16","TRUE","7.198427","7.47E-15","TRUE","5.137054","2.40E-08","TRUE","6.222484","2.62E-13","TRUE"
"ppa-miR-28_st","6.349124","2.10E-14","TRUE","6.486623","8.72E-16","TRUE","6.678496","8.72E-16","TRUE","6.503147","8.72E-16","TRUE","7.250048","1.60E-14","TRUE","5.488529","6.14E-09","TRUE","5.924735","1.86E-13","TRUE"
"ggo-miR-29a_st","10.16214","8.72E-16","TRUE","11.14419","8.72E-16","TRUE","10.92768","8.72E-16","TRUE","10.85682","8.72E-16","TRUE","9.033507","8.72E-16","TRUE","9.673279","8.72E-16","TRUE","10.04692","8.72E-16","TRUE"
"age-miR-29a_st","10.00271","8.72E-16","TRUE","11.12869","8.72E-16","TRUE","10.94805","8.72E-16","TRUE","10.89089","8.72E-16","TRUE","9.149925","8.72E-16","TRUE","9.563001","8.72E-16","TRUE","10.0946","8.72E-16","TRUE"
"ppa-miR-29a_st","10.04162","8.72E-16","TRUE","11.18052","8.72E-16","TRUE","11.03212","8.72E-16","TRUE","10.79397","8.72E-16","TRUE","8.673298","1.59E-15","TRUE","9.639216","8.72E-16","TRUE","10.01924","8.72E-16","TRUE"
"ppy-miR-29a_st","9.997273","8.72E-16","TRUE","11.08179","8.72E-16","TRUE","10.92296","8.72E-16","TRUE","10.84624","8.72E-16","TRUE","8.790379","5.83E-15","TRUE","9.760139","8.72E-16","TRUE","10.06157","8.72E-16","TRUE"
"ptr-miR-29a_st","9.940691","8.72E-16","TRUE","11.06606","8.72E-16","TRUE","10.86712","8.72E-16","TRUE","10.78715","8.72E-16","TRUE","8.536395","8.72E-16","TRUE","9.77401","8.72E-16","TRUE","10.05343","8.72E-16","TRUE"
"mml-miR-29a_st","9.978831","8.72E-16","TRUE","11.03107","8.72E-16","TRUE","10.82727","8.72E-16","TRUE","10.74257","8.72E-16","TRUE","8.559798","8.72E-16","TRUE","9.567144","8.72E-16","TRUE","10.01479","8.72E-16","TRUE"
"sla-miR-29a_st","10.05267","8.72E-16","TRUE","11.12822","8.72E-16","TRUE","10.92985","8.72E-16","TRUE","10.80433","8.72E-16","TRUE","8.196664","2.90E-15","TRUE","9.689849","8.72E-16","TRUE","10.00846","8.72E-16","TRUE"
"lla-miR-29a_st","10.10285","8.72E-16","TRUE","11.0871","8.72E-16","TRUE","10.95242","8.72E-16","TRUE","10.80636","8.72E-16","TRUE","8.746468","1.59E-15","TRUE","9.646488","8.72E-16","TRUE","10.05633","8.72E-16","TRUE"
"mne-miR-29a_st","10.09648","8.72E-16","TRUE","11.15228","8.72E-16","TRUE","11.03191","8.72E-16","TRUE","10.8571","8.72E-16","TRUE","8.939832","1.59E-15","TRUE","9.703466","8.72E-16","TRUE","10.12621","8.72E-16","TRUE"
"mml-miR-30a-5p_st","8.795531","8.72E-16","TRUE","9.49003","8.72E-16","TRUE","9.461642","8.72E-16","TRUE","9.512856","8.72E-16","TRUE","7.503022","1.06E-14","TRUE","8.389371","8.72E-16","TRUE","8.956277","8.72E-16","TRUE"
